!!SBtab	Document='covid19' TableName='Stockholm' TableType='QuantityMatrix' TableTitle='taken from folkhälsomyndigheten 2020-04-18'																				
!TimePoint	!Time	>INFCT	SDINFCT	>HOSP	SDHOSP	>DEAD	SDDEAD	>KRIT	SDKRIT	>NEQ0	SDNEQ0	>NEQ1	SDNEQ1	%	Dag	Fall	Fall idag	Döda	Döda idag	iva	på sjukhus
2020/01/31	0	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/02/26	26	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/02/27	27	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/02/28	28	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/02/29	29	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/03/01	30	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/03/02	31	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/03/03	32	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/03/04	33	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/03/05	34	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/03/06	35	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/03/07	36	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/03/08	37	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/03/09	38	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/03/10	39	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/03/11	40	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/03/12	41	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/03/13	42	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/03/14	43	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/03/15	44	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/03/16	45	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/03/17	46	0	inf	0	inf	0	inf	0	inf	1	0.3	1	0.3	%							
2020/03/18	47	0	inf	0	inf	2.103420119045165E-06	1.1425778086653337E-05	4.6275242618993635E-06	3.05837285309167E-06	1	0.3	1	0.3	%	2020/03/18	501	58	5	0	11	
2020/03/19	48	0	inf	4.248908640471234E-05	1.6107991271647875E-05	2.103420119045165E-06	1.1425778086653337E-05	7.1516284047535616E-06	3.18457806023438E-06	1	0.3	1	0.3	%	2020/03/19	567	66	5	0	17	101
2020/03/20	49	0	inf	5.847507930945559E-05	1.6907290916885036E-05	3.365472190472264E-06	1.1488880690224692E-05	8.41368047618066E-06	3.247680663805735E-06	1	0.3	1	0.3	%	2020/03/20	651	84	8	3	20	139
2020/03/21	50	0	inf	7.614380830943498E-05	1.7790727366884006E-05	4.20684023809033E-06	1.1530949092605594E-05	9.67573254760776E-06	3.31078326737709E-06	1	0.3	1	0.3	%	2020/03/21	722	71	10	2	23	181
2020/03/22	51	0	inf	9.086774914275112E-05	1.8526924408549814E-05	4.20684023809033E-06	1.1530949092605594E-05	1.1779152666652925E-05	3.415954273329348E-06	1	0.3	1	0.3	%	2020/03/22	781	59	10	0	28	216
2020/03/23	52	0	inf	0.00010853647814273052	1.9410360858548784E-05	6.730944380944528E-06	1.1657154299748304E-05	1.9772149119024552E-05	3.8156040959479295E-06	1	0.3	1	0.3	%	2020/03/23	880	99	16	6	47	258
2020/03/24	53	0	inf	0.00011947426276176538	1.9957250089500526E-05	7.992996452371627E-06	1.1720256903319659E-05	2.0192833142833585E-05	3.836638297138381E-06	1	0.3	1	0.3	%	2020/03/24	985	105	19	3	48	284
2020/03/25	54	0	inf	0.00012620520714270992	2.0293797308547754E-05	1.556530888093422E-05	1.2098872524747789E-05	2.7344461547587145E-05	4.194219717376059E-06	1	0.3	1	0.3	%	2020/03/25	1139	154	37	18	65	300
2020/03/26	55	0	inf	0.00016911497757123126	2.243928582997382E-05	1.808941302378842E-05	1.22250777318905E-05	2.902719764282328E-05	4.278356522137866E-06	1	0.3	1	0.3	%	2020/03/26	1271	132	43	6	69	402
2020/03/27	56	0	inf	0.00018930781071406486	2.34489274871155E-05	2.524104142854198E-05	1.2582659152128176E-05	3.2392669833295544E-05	4.446630131661479E-06	1	0.3	1	0.3	%	2020/03/27	1447	176	60	17	77	450
2020/03/28	57	0	inf	0.00020823859178547134	2.4395466540685824E-05	2.650309349996908E-05	1.2645761755699533E-05	3.5758142023767806E-05	4.614903741185092E-06	1	0.3	1	0.3	%	2020/03/28	1594	147	63	3	85	495
2020/03/29	58	0	inf	0.00022506595273783265	2.523683458830389E-05	2.8606513619014246E-05	1.275093276165179E-05	3.870293019043104E-05	4.762143149518254E-06	1	0.3	1	0.3	%	2020/03/29	1744	150	68	5	92	535
2020/03/30	59	0	inf	0.00025072767819018366	2.651992086092144E-05	3.744087811900394E-05	1.3192650986651275E-05	4.543387457137556E-05	5.098690368565481E-06	1	0.3	1	0.3	%	2020/03/30	1915	171	89	21	108	596
